,station_id,station_name,year,snow,t_mean,lon,lat
359,250150170,JAKUSZYCE,2003,38,-8.4,15.45,50.816667
360,250150220,KARPACZ,2003,4,-3.9,15.783333,50.783333
361,250150250,PAPROTKI,2003,15,-8.2,15.95,50.733333
362,250160090,PSZENNO,2003,0,-2.2,16.55,50.85
363,250160130,SZCZAWNO-ZDRÓJ,2003,1,-4.6,16.233333,50.8
364,250160360,TARNÓW,2003,0,-3.3,20.984444,50.03
365,250160480,SŁOSZÓW,2003,2,-7.6,16.379722,50.41
366,250160520,LĄDEK-ZDRÓJ,2003,1,-7.6,16.883333,50.35
367,250160590,DŁUGOPOLE-ZDRÓJ,2003,2,-9.5,16.633333,50.25
368,250160610,BOLESŁAWÓW,2003,34,-6.9,16.883333,50.25
369,250170110,DOBROGOSZCZ,2003,0,-3.8,17.016667,50.766667
370,250170140,GRODKÓW,2003,0,-4.6,17.4,50.683333
371,250170240,KORFANTÓW,2003,0,-6.3,17.6,50.483333
372,250170250,OTMUCHÓW,2003,0,-5.7,17.166667,50.466667
373,250170330,GŁUCHOŁAZY,2003,2,-3.8,17.383333,50.3
374,250170390,GŁUBCZYCE,2003,0,-6.0,17.8,50.183333
375,250180030,STARE OLESNO,2003,2,-6.1,18.033889,50.084444
376,250180270,ŚWIERKLANIEC,2003,2,-8.1,18.95,50.433333
377,250180380,SUKOWICE,2003,0,-6.6,18.166667,50.266667
378,250180580,DRONIOWICE,2003,2,-8.0,18.808889,50.696111
379,250190030,SILNICZKA,2003,0,-7.2,19.766667,50.916667
380,250190160,LGOTA GÓRNA,2003,0,-8.0,19.233333,50.6
381,250190250,ZĄBKOWICE,2003,1,-7.5,19.283333,50.366667
382,250190290,OLEWIN,2003,1,-8.2,19.6025,50.2775
383,250190380,BIERUŃ STARY,2003,1,-8.6,19.1,50.083333
384,250190390,KRAKÓW-OBSERWATORIUM,2003,0,-7.9,19.966667,50.066667
385,250190530,KATOWICE PYRZOWICE,2003,3,-8.7,19.076111,50.472778
386,250200040,BODZENTYN,2003,0,-8.1,20.95,50.95
387,250200210,MIECHÓW,2003,0,-10.3,20.033333,50.366667
388,250200220,SIELEC,2003,0,-8.2,20.416667,50.316667
389,250200230,BORUSOWA,2003,0,-8.9,20.8,50.283333
